学校名称,学校标识码,主管部门,所在地,办学层次,备注,en-name(baidu),en-name(youdao)
北京大学,4111010001,教育部,北京市,本科,,Peking University,Peking University
中国人民大学,4111010002,教育部,北京市,本科,,Renmin University of China,Renmin university of China
清华大学,4111010003,教育部,北京市,本科,,Tsinghua University,Tsinghua university
北京交通大学,4111010004,教育部,北京市,本科,,Beijing Jiaotong University,Beijing jiaotong university
北京工业大学,4111010005,北京市,北京市,本科,,Beijing University of Technology,Beijing university of technology
北京航空航天大学,4111010006,工业和信息化部,北京市,本科,,Beijing University of Aeronautics and Astronautics,Beijing university of aeronautics and astronautics
北京理工大学,4111010007,工业和信息化部,北京市,本科,,Beijing University of Technology,Beijing institute of technology
北京科技大学,4111010008,教育部,北京市,本科,,Beijing University of Science and Technology,Beijing university of science and technology
北方工业大学,4111010009,北京市,北京市,本科,,Northern University of Technology,The northern industrial university
北京化工大学,4111010010,教育部,北京市,本科,,Beijing University of Chemical Technology,Beijing university of chemical
北京工商大学,4111010011,北京市,北京市,本科,,Beijing Business University,Beijing industry and commerce university
北京服装学院,4111010012,北京市,北京市,本科,,Beijing Institute of Fashion,Beijing institute of fashion technology
北京邮电大学,4111010013,教育部,北京市,本科,,Beijing University of Posts and Telecommunications,Beijing university of posts and telecommunications
北京印刷学院,4111010015,北京市,北京市,本科,,Beijing Printing College,Beijing printing institute
北京建筑大学,4111010016,北京市,北京市,本科,,Beijing University of Architecture,Beijing university of architecture
北京石油化工学院,4111010017,北京市,北京市,本科,,Beijing Institute of Petroleum and Chemical Technology,Beijing institute of petrochemical industry
北京电子科技学院,4111010018,中央办公厅,北京市,本科,,Beijing Institute of Electronic Science and Technology,Beijing institute of electronic science and technology
中国农业大学,4111010019,教育部,北京市,本科,,China Agricultural University,China agricultural university
北京农学院,4111010020,北京市,北京市,本科,,Beijing Agricultural College,Beijing agronomy
北京林业大学,4111010022,教育部,北京市,本科,,Beijing Forestry University,Beijing forestry university
北京协和医学院,4111010023,国家卫生和计划生育委员会,北京市,本科,,Peking Union Medical College,Beijing union medical college
首都医科大学,4111010025,北京市,北京市,本科,,capital medical university,The capital university of medical sciences
北京中医药大学,4111010026,教育部,北京市,本科,,Beijing University of Traditional Chinese Medicine,Beijing university of Chinese medicine
北京师范大学,4111010027,教育部,北京市,本科,,Beijing Normal University,Beijing normal university.
首都师范大学,4111010028,北京市,北京市,本科,,Capital Normal University,The capital normal university.
首都体育学院,4111010029,北京市,北京市,本科,,Capital Institute of Physical Education,Capital institute of physical education
北京外国语大学,4111010030,教育部,北京市,本科,,Beijing Foreign Studies University,Beijing foreign studies university
北京第二外国语学院,4111010031,北京市,北京市,本科,,Beijing Second College of Foreign Languages,Beijing second foreign languages institute
北京语言大学,4111010032,教育部,北京市,本科,,Beijing Language and Culture University,Beijing language and culture university
中国传媒大学,4111010033,教育部,北京市,本科,,China Media University,The communication university of China
中央财经大学,4111010034,教育部,北京市,本科,,Central University of Finance and Economics,Central university of finance and economics
对外经济贸易大学,4111010036,教育部,北京市,本科,,University of Foreign Economics and Trade,Foreign economic and trade university
北京物资学院,4111010037,北京市,北京市,本科,,Beijing Material College,Beijing institute of materials
首都经济贸易大学,4111010038,北京市,北京市,本科,,Capital University of Economics and Trade,The capital university of economic and trade
外交学院,4111010040,外交部,北京市,本科,,China Foreign Affairs University,Foreign affairs college
中国人民公安大学,4111010041,公安部,北京市,本科,,People's Public Security University of China,The Chinese people's public security university
国际关系学院,4111010042,教育部,北京市,本科,,Institute of International Relations,Institute of international relations
北京体育大学,4111010043,国家体育总局,北京市,本科,,Beijing Sports University,Beijing sports university
中央音乐学院,4111010045,教育部,北京市,本科,,Central Conservatory of Music,Central academy of music
中国音乐学院,4111010046,北京市,北京市,本科,,China Conservatory of Music,The China academy of music
中央美术学院,4111010047,教育部,北京市,本科,,Central Academy of Fine Arts,The central academy of fine arts
中央戏剧学院,4111010048,教育部,北京市,本科,,Central Academy of Drama,Central academy of drama
中国戏曲学院,4111010049,北京市,北京市,本科,,Chinese Academy of Opera,Institute of Chinese opera
北京电影学院,4111010050,北京市,北京市,本科,,Beijing Film Academy,The Beijing film academy
北京舞蹈学院,4111010051,北京市,北京市,本科,,Beijing Dance Academy,Beijing dance academy
中央民族大学,4111010052,国家民委,北京市,本科,,Central University for Nationalities,The central university for nationalities
中国政法大学,4111010053,教育部,北京市,本科,,China University of Political Science and Law,China university of political science and law
华北电力大学,4111010054,教育部,北京市,本科,,North China Electric Power University,North China electric power university
中华女子学院,4111011149,中华妇女联合会,北京市,本科,,China Women's College,The Chinese women's college
北京信息科技大学,4111011232,北京市,北京市,本科,,Beijing University of Information Technology,Beijing university of information science and technology
中国矿业大学（北京）,4111011413,教育部,北京市,本科,,China University of Mining and Technology (Beijing),China university of mining &technology (Beijing)
中国石油大学（北京）,4111011414,教育部,北京市,本科,,China University of Petroleum (Beijing),China university of petroleum (Beijing)
中国地质大学（北京）,4111011415,教育部,北京市,本科,,China University of Geosciences (Beijing),China university of geosciences (Beijing)
北京联合大学,4111011417,北京市,北京市,本科,,Beijing Union University,Beijing union university
北京城市学院,4111011418,北京市教委,北京市,本科,民办,Beijing City College,Beijing city university
中国青年政治学院,4111011625,共青团中央,北京市,本科,,China Youth Political College,China youth university for political sciences
首钢工学院,4111011831,北京市,北京市,本科,,Shougang Institute of Technology,Shougang institute of technology
中国劳动关系学院,4111012453,中华全国总工会,北京市,本科,,China Institute of Labor Relations,China institute of labor relations
北京吉利学院,4111012802,北京市教委,北京市,本科,民办,Beijing Geely College,Beijing geely university
首都师范大学科德学院,4111013629,北京市教委,北京市,本科,民办,"Corde College, Capital Normal University",Capital normal college big discipline
